hive,path,value,type,data
"HKLM","Software\Classes\batfile\shell\runasuser","SuppressionPolicy","DWord","4096"
"HKLM","Software\Classes\cmdfile\shell\runasuser","SuppressionPolicy","DWord","4096"
"HKLM","Software\Classes\exefile\shell\runasuser","SuppressionPolicy","DWord","4096"
"HKLM","Software\Classes\mscfile\shell\runasuser","SuppressionPolicy","DWord","4096"
"HKLM","SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","AutoAdminLogon","String","0"
"HKLM","SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon","ScreenSaverGracePeriod","String","5"
"HKLM","SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","LocalAccountTokenFilterPolicy","DWord","0"
"HKLM","Software\Policies\Microsoft Services\AdmPwd","AdmPwdEnabled","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\AppHVSI","FileTrustCriteria","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\AppHVSI\FileTrustOrigin","FileTrustOriginMarkOfTheWeb","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\AppHVSI\FileTrustOrigin","FileTrustOriginNetworkShare","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\AppHVSI\FileTrustOrigin","FileTrustOriginRemovableMedia","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall","PolicyVersion","DWord",""
"HKLM","SYSTEM\CurrentControlSet\Control\Lsa","RunAsPPL","DWord","1"
"HKLM","SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest","UseLogonCredential","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Control\Session Manager","SafeDllSearchMode","DWord","1"
"HKLM","SYSTEM\CurrentControlSet\Control\Session Manager\kernel","DisableExceptionChainValidation","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Services\Eventlog\Security","WarningLevel","DWord","90"
"HKLM","SYSTEM\CurrentControlSet\Services\LanmanServer\Parameters","SMB1","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Services\MrxSmb10","Start","DWord","4"
"HKLM","SYSTEM\CurrentControlSet\Services\Netbt\Parameters","NodeType","DWord","2"
"HKLM","SYSTEM\CurrentControlSet\Services\Netbt\Parameters","NoNameReleaseOnDemand","DWord","1"
"HKLM","SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","DisableIPSourceRouting","DWord","2"
"HKLM","SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","EnableDeadGWDetect","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Services\Tcpip\Parameters","EnableICMPRedirect","DWord","0"
"HKLM","SYSTEM\CurrentControlSet\Services\Tcpip6\Parameters","DisableIPSourceRouting","DWord","2"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll","EnforcementMode","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll\3737732c-99b7-41d4-9037-9cddfb0de0d0","Value","String","<FilePathRule Id="3737732c-99b7-41d4-9037-9cddfb0de0d0" Name="(Default Rule) All DLLs located in the Program Files folder" Description="Allows members of the Everyone group to load DLLs that are located in the Program Files folder." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%PROGRAMFILES%\*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll\b322869f-7431-488c-ab0d-e1c49510283f","Value","String","<FilePathRule Id="b322869f-7431-488c-ab0d-e1c49510283f" Name="%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*" Description="" UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll","AllowWindows","DWord","0"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll\e0e1f454-d63e-41cb-85d5-3c11a9b9889f","Value","String","<FilePathRule Id="e0e1f454-d63e-41cb-85d5-3c11a9b9889f" Name="Microsoft Windows DLLs - with exceptions for writeable locations" Description="Allows members of the Everyone group to load DLLs located in the Windows folder." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%WINDIR%\*"/></Conditions><Exceptions><FilePathCondition Path="%SYSTEM32%\AppLocker\*"/><FilePathCondition Path="%SYSTEM32%\com\dmp\*"/><FilePathCondition Path="%SYSTEM32%\FxsTmp\*"/><FilePathCondition Path="%SYSTEM32%\Microsoft\Crypto\RSA\MachineKeys\*"/><FilePathCondition Path="%SYSTEM32%\Spool\drivers\color\*"/><FilePathCondition Path="%SYSTEM32%\Spool\PRINTERS\*"/><FilePathCondition Path="%SYSTEM32%\Spool\SERVERS\*"/><FilePathCondition Path="%SYSTEM32%\Tasks\*"/><FilePathCondition Path="%WINDIR%\registration\crmlog\*"/><FilePathCondition Path="%WINDIR%\servicing\Packages\*"/><FilePathCondition Path="%WINDIR%\servicing\Sessions\*"/><FilePathCondition Path="%WINDIR%\Tasks\*"/><FilePathCondition Path="%WINDIR%\temp\*"/><FilePathCondition Path="%WINDIR%\Tracing\*"/></Exceptions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Dll\fe64f59f-6fca-45e5-a731-0f6715327c38","Value","String","<FilePathRule Id="fe64f59f-6fca-45e5-a731-0f6715327c38" Name="(Default Rule) All DLLs" Description="Allows members of the local Administrators group to load all DLLs." UserOrGroupSid="S-1-5-32-544" Action="Allow"><Conditions><FilePathCondition Path="*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Exe","EnforcementMode","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Exe\36589a7e-4ac6-4bf0-aab9-1a87a469c7d2","Value","String","<FilePathRule Id="36589a7e-4ac6-4bf0-aab9-1a87a469c7d2" Name="All files located in the Program Files folder" Description="Allows members of the Everyone group to run applications that are located in the Program Files folder." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%PROGRAMFILES%\*"/></Conditions><Exceptions><FilePathCondition Path="%PROGRAMFILES%\Windows Kits\*\Debuggers\*"/></Exceptions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Exe\5c2a926d-aa07-41ee-8199-2933a0e05979","Value","String","<FilePathRule Id="5c2a926d-aa07-41ee-8199-2933a0e05979" Name="All files located in the Windows folder - with exceptions" Description="Allows members of the Everyone group to run applications that are located in the Windows folder." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%WINDIR%\*"/></Conditions><Exceptions><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="INTERNET EXPLORER" BinaryName="MSHTA.EXE"><BinaryVersionRange LowSection="11.0.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT(R) CONNECTION MANAGER" BinaryName="CMSTP.EXE"><BinaryVersionRange LowSection="*" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® .NET FRAMEWORK" BinaryName="IEEXEC.EXE"><BinaryVersionRange LowSection="2.0.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® .NET FRAMEWORK" BinaryName="INSTALLUTIL.EXE"><BinaryVersionRange LowSection="2.0.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® .NET FRAMEWORK" BinaryName="MSBUILD.EXE"><BinaryVersionRange LowSection="1.0.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® .NET FRAMEWORK" BinaryName="REGASM.EXE"><BinaryVersionRange LowSection="1.0.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® .NET FRAMEWORK" BinaryName="REGSVCS.EXE"><BinaryVersionRange LowSection="1.0.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® WINDOWS® OPERATING SYSTEM" BinaryName="CDB.EXE"><BinaryVersionRange LowSection="1.0.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® WINDOWS® OPERATING SYSTEM" BinaryName="CIPHER.EXE"><BinaryVersionRange LowSection="*" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® WINDOWS® OPERATING SYSTEM" BinaryName="PRESENTATIONHOST.EXE"><BinaryVersionRange LowSection="*" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® WINDOWS® OPERATING SYSTEM" BinaryName="WINDBG.EXE"><BinaryVersionRange LowSection="1.0.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US" ProductName="MICROSOFT® WINDOWS® OPERATING SYSTEM" BinaryName="WMIC.EXE"><BinaryVersionRange LowSection="*" HighSection="*"/></FilePublisherCondition><FilePathCondition Path="%SYSTEM32%\AppLocker\*"/><FilePathCondition Path="%SYSTEM32%\com\dmp\*"/><FilePathCondition Path="%SYSTEM32%\FxsTmp\*"/><FilePathCondition Path="%SYSTEM32%\Microsoft\Crypto\RSA\MachineKeys\*"/><FilePathCondition Path="%SYSTEM32%\Spool\drivers\color\*"/><FilePathCondition Path="%SYSTEM32%\Spool\PRINTERS\*"/><FilePathCondition Path="%SYSTEM32%\Spool\SERVERS\*"/><FilePathCondition Path="%SYSTEM32%\Tasks\*"/><FilePathCondition Path="%WINDIR%\registration\crmlog\*"/><FilePathCondition Path="%WINDIR%\servicing\Packages\*"/><FilePathCondition Path="%WINDIR%\servicing\Sessions\*"/><FilePathCondition Path="%WINDIR%\Tasks\*"/><FilePathCondition Path="%WINDIR%\temp\*"/><FilePathCondition Path="%WINDIR%\Tracing\*"/></Exceptions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Exe\abbf7b1e-e4ce-46ae-9ab3-ca044e1f0079","Value","String","<FilePathRule Id="abbf7b1e-e4ce-46ae-9ab3-ca044e1f0079" Name="%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*" Description="" UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%OSDRIVE%\ProgramData\Microsoft\Windows Defender\Platform\*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Exe","AllowWindows","DWord","0"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Exe\fd686d83-a829-4351-8ff4-27c7de5755d2","Value","String","<FilePathRule Id="fd686d83-a829-4351-8ff4-27c7de5755d2" Name="(Default Rule) All files" Description="Allows members of the local Administrators group to run all applications." UserOrGroupSid="S-1-5-32-544" Action="Allow"><Conditions><FilePathCondition Path="*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Appx","EnforcementMode","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Appx\5b2a8477-5617-4653-badd-81ee23fc2bb6","Value","String","<FilePublisherRule Id="5b2a8477-5617-4653-badd-81ee23fc2bb6" Name="All signed packaged apps" Description="Allows members of the Everyone group to run packaged apps that are signed." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePublisherCondition PublisherName="*" ProductName="*" BinaryName="*"><BinaryVersionRange LowSection="0.0.0.0" HighSection="*"/></FilePublisherCondition></Conditions><Exceptions><FilePublisherCondition PublisherName="CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US" ProductName="Microsoft.Getstarted" BinaryName="*"><BinaryVersionRange LowSection="2.1.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US" ProductName="Microsoft.MicrosoftOfficeHub" BinaryName="*"><BinaryVersionRange LowSection="17.4218.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="CN=Skype Software Sarl, O=Microsoft Corporation, L=Luxembourg, S=Luxembourg, C=LU" ProductName="Microsoft.SkypeApp" BinaryName="*"><BinaryVersionRange LowSection="3.2.0.0" HighSection="*"/></FilePublisherCondition><FilePublisherCondition PublisherName="CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US" ProductName="Microsoft.WindowsFeedback" BinaryName="*"><BinaryVersionRange LowSection="10.0.0.0" HighSection="*"/></FilePublisherCondition></Exceptions></FilePublisherRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Appx","AllowWindows","DWord","0"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Script","EnforcementMode","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Script\06dce67b-934c-454f-a263-2515c8796a5d","Value","String","<FilePathRule Id="06dce67b-934c-454f-a263-2515c8796a5d" Name="(Default Rule) All scripts located in the Program Files folder" Description="Allows members of the Everyone group to run scripts that are located in the Program Files folder." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%PROGRAMFILES%\*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Script\4424ec7c-c6ff-4015-ba6a-7f465808db21","Value","String","<FilePathRule Id="4424ec7c-c6ff-4015-ba6a-7f465808db21" Name="All scripts located in the Windows folder" Description="Allows members of the Everyone group to run scripts that are located in the Windows folder." UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%WINDIR%\*"/></Conditions><Exceptions><FilePathCondition Path="%SYSTEM32%\AppLocker\*"/><FilePathCondition Path="%SYSTEM32%\com\dmp\*"/><FilePathCondition Path="%SYSTEM32%\FxsTmp\*"/><FilePathCondition Path="%SYSTEM32%\Microsoft\Crypto\RSA\MachineKeys\*"/><FilePathCondition Path="%SYSTEM32%\Spool\drivers\color\*"/><FilePathCondition Path="%SYSTEM32%\Spool\PRINTERS\*"/><FilePathCondition Path="%SYSTEM32%\Spool\SERVERS\*"/><FilePathCondition Path="%SYSTEM32%\Tasks\*"/><FilePathCondition Path="%WINDIR%\registration\crmlog\*"/><FilePathCondition Path="%WINDIR%\servicing\Packages\*"/><FilePathCondition Path="%WINDIR%\servicing\Sessions\*"/><FilePathCondition Path="%WINDIR%\Tasks\*"/><FilePathCondition Path="%WINDIR%\temp\*"/><FilePathCondition Path="%WINDIR%\Tracing\*"/></Exceptions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Script\ed97d0cb-15ff-430f-b82c-8d7832957725","Value","String","<FilePathRule Id="ed97d0cb-15ff-430f-b82c-8d7832957725" Name="(Default Rule) All scripts" Description="Allows members of the local Administrators group to run all scripts." UserOrGroupSid="S-1-5-32-544" Action="Allow"><Conditions><FilePathCondition Path="*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Script","AllowWindows","DWord","0"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Msi","EnforcementMode","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Msi\64ad46ff-0d71-4fa0-a30b-3f3d30c5433d","Value","String","<FilePathRule Id="64ad46ff-0d71-4fa0-a30b-3f3d30c5433d" Name="(Default Rule) All Windows Installer files" Description="Allows members of the local Administrators group to run all Windows Installer files." UserOrGroupSid="S-1-5-32-544" Action="Allow"><Conditions><FilePathCondition Path="*.*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Msi\dbd8ff9e-a670-4e3b-b59e-c0cd39637b99","Value","String","<FilePathRule Id="dbd8ff9e-a670-4e3b-b59e-c0cd39637b99" Name="%WINDIR%\Installer\*" Description="" UserOrGroupSid="S-1-1-0" Action="Allow"><Conditions><FilePathCondition Path="%WINDIR%\Installer\*"/></Conditions></FilePathRule>\r\n"
"HKLM","Software\Policies\Microsoft\Windows\SrpV2\Msi","AllowWindows","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\FirewallRules","{16179759-79D2-48F1-A567-B1EF930E13C5}","String","v2.28|Action=Allow|Active=TRUE|Dir=Out|Protocol=17|Profile=Private|Profile=Public|App=%SystemRoot%\system32\lsass.exe|Name=Allow outbound Kerberos - UDP|"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\FirewallRules","{5FB5B55E-568D-466D-BF82-EB825B66BA93}","String","v2.28|Action=Allow|Active=TRUE|Dir=Out|Protocol=17|Profile=Private|Profile=Public|RPort=389|Name=Allow outbound LDAP - UDP|"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\FirewallRules","{70159D70-3BB0-437C-BC55-CB2312D6BA60}","String","v2.28|Action=Allow|Active=TRUE|Dir=Out|Protocol=6|Profile=Private|Profile=Public|RPort=389|Name=Allow outbound LDAP - TCP|"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\FirewallRules","{9F1872F0-C054-463C-95B1-A81ED2C81D31}","String","v2.28|Action=Allow|Active=TRUE|Dir=Out|Protocol=6|Profile=Private|Profile=Public|RPort=53|App=%SystemRoot%\system32\svchost.exe|Svc=Dnscache|Name=Allow outboud DNS - TCP|"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\FirewallRules","{A7583DB6-FF00-401F-8EF4-7254022FE8EC}","String","v2.28|Action=Allow|Active=TRUE|Dir=Out|Protocol=6|Profile=Private|Profile=Public|App=%SystemRoot%\system32\lsass.exe|Name=Allow outbound Kerberos - TCP|"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\FirewallRules","{B37D8400-2B70-4844-BC76-2109733F2CF3}","String","v2.28|Action=Allow|Active=TRUE|Dir=Out|Protocol=6|Profile=Private|Profile=Public|RPort=80|App=%SystemRoot%\System32\svchost.exe|Svc=NlaSvc|Name=Allow outbound NCSI Probe|"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\FirewallRules","{B5F5CEB9-7989-4DAF-8B80-9C6DD1A139BC}","String","v2.28|Action=Allow|Active=TRUE|Dir=Out|Protocol=17|Profile=Private|Profile=Public|LPort=68|RPort=67|App=%SystemRoot%\system32\svchost.exe|Svc=Dhcp|Name=Allow outbound DCHP|"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\FirewallRules","{B61409AB-083A-45DF-9348-F2DDC77FB732}","String","v2.28|Action=Allow|Active=TRUE|Dir=Out|Protocol=17|Profile=Private|Profile=Public|RPort=53|App=%SystemRoot%\system32\svchost.exe|Name=Allow outbound DNS - UDP|"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogDroppedPackets","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogFilePath","String","%systemroot%\system32\logfiles\firewall\domainfw.log"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogSuccessfulConnections","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging","LogFileSize","DWord","16384"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile","AllowLocalPolicyMerge","DWord","0"
"HKLM","Software\Policies\Microsoft\WindowsFirewall\DomainProfile","DisableNotifications","DWord","1"
"HKLM","Software\Policies\Microsoft\WindowsFirewall\DomainProfile","EnableFirewall","DWord","1"
"HKLM","Software\Policies\Microsoft\WindowsFirewall\DomainProfile","DefaultInboundAction","DWord","1"
"HKLM","Software\Policies\Microsoft\WindowsFirewall\DomainProfile","DefaultOutboundAction","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogDroppedPackets","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogFilePath","String","%systemroot%\system32\logfiles\firewall\privatefw.log"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogSuccessfulConnections","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging","LogFileSize","DWord","16384"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","AllowLocalPolicyMerge","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DisableNotifications","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","EnableFirewall","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DefaultInboundAction","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile","DefaultOutboundAction","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogDroppedPackets","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogFilePath","String","%systemroot%\system32\logfiles\firewall\publicfw.log"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogSuccessfulConnections","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile\Logging","LogFileSize","DWord","16384"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","AllowLocalIPsecPolicyMerge","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","AllowLocalPolicyMerge","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DisableNotifications","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","EnableFirewall","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DefaultInboundAction","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile","DefaultOutboundAction","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\Personalization","NoLockScreenCamera","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\Personalization","NoLockScreenSlideshow","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\InputPersonalization","AllowInputPersonalization","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\InputPersonalization","RestrictImplicitInkCollection","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\InputPersonalization","RestrictImplicitTextCollection","DWord","1"
"HKLM","SOFTWARE\Policies\Microsoft\Windows NT\DNSClient","EnableMulticast","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AllowInsecureGuestAuth","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\Network Connections","NC_AllowNetBridge_NLA","DWord","0"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\Network Connections","NC_ShowSharedAccessUI","DWord","0"
"HKLM","Software\Policies\Microsoft\Windows\Network Connections","NC_StdDomainUserSetLocation","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\NetworkIsolation","DProxiesAuthoritive","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\NetworkIsolation","DSubnetsAuthoritive","DWord","1"
"HKLM","Software\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths","\\*\NETLOGON","String","RequireIntegrity=1,RequireMutualAuthentication=1"
